"Listing.Year","Species","Alpha3Code","CountryName","value"
2002,"Rhincodon typus","ind","India",1
2002,"Rhincodon typus","phl","Philippines",1
2002,"Rhincodon typus","ind","India",1
2002,"Rhincodon typus","phl","Philippines",1
2013,"Carcharhinus longimanus","bra","Brazil",1
2013,"Carcharhinus longimanus","col","Colombia",1
2013,"Carcharhinus longimanus","usa","United States",1
2013,"Sphyrna spp.","bra","Brazil",1
2013,"Sphyrna spp.","col","Colombia",1
2013,"Sphyrna spp.","cri","Costa Rica",1
2013,"Sphyrna spp.","ecu","Ecuador",1
2013,"Sphyrna spp.","eu","European Union",1
2013,"Sphyrna spp.","hnd","Honduras",1
2013,"Sphyrna spp.","mex","Mexico",1
2013,"Lamna nasus","bra","Brazil",1
2013,"Lamna nasus","com","Comoros",1
2013,"Lamna nasus","hrv","Croatia ",1
2013,"Lamna nasus","dnk","Denmark",1
2013,"Lamna nasus","egy","Egypt",1
2013,"Manta spp.","bra","Brazil",1
2013,"Manta spp.","col","Colombia",1
2013,"Manta spp.","ecu","Ecuador",1
2016,"Carcharhinus falciformis","bhs","Bahamas",1
2016,"Carcharhinus falciformis","bgd","Bangladesh",1
2016,"Carcharhinus falciformis","ben","Benin",1
2016,"Carcharhinus falciformis","bra","Brazil",1
2016,"Carcharhinus falciformis","bfa","Burkina Faso",1
2016,"Carcharhinus falciformis","com","Comoros",1
2016,"Carcharhinus falciformis","dom","Dominican Republic",1
2016,"Carcharhinus falciformis","egy","Egypt",1
2016,"Carcharhinus falciformis","eu","European Union",1
2016,"Carcharhinus falciformis","fji","Fiji",1
2016,"Carcharhinus falciformis","gab","Gabon",1
2016,"Carcharhinus falciformis","gha","Ghana",1
2016,"Carcharhinus falciformis","gin","Guinea",1
2016,"Carcharhinus falciformis","gnb","Guinea-bissau",1
2016,"Carcharhinus falciformis","mdv","Maldives",1
2016,"Carcharhinus falciformis","mrt","Mauritania",1
2016,"Carcharhinus falciformis","plw","Palau",1
2016,"Carcharhinus falciformis","pan","Panama",1
2016,"Carcharhinus falciformis","wsm","Samoa",1
2016,"Carcharhinus falciformis","sen","Senegal",1
2016,"Carcharhinus falciformis","lka","Sri Lanka",1
2016,"Carcharhinus falciformis","ukr","Ukraine",1
2016,"Alopias spp.","bhs","Bahamas",1
2016,"Alopias spp.","bgd","Bangladesh",1
2016,"Alopias spp.","ben","Benin",1
2016,"Alopias spp.","bra","Brazil",1
2016,"Alopias spp.","bfa","Burkina Faso",1
2016,"Alopias spp.","com","Comoros",1
2016,"Alopias spp.","dom","Dominican Republic",1
2016,"Alopias spp.","egy","Egypt",1
2016,"Alopias spp.","eu","European Union",1
2016,"Alopias spp.","fji","Fiji",1
2016,"Alopias spp.","gab","Gabon",1
2016,"Alopias spp.","gha","Ghana",1
2016,"Alopias spp.","gin","Guinea",1
2016,"Alopias spp.","gnb","Guinea-bissau",1
2016,"Alopias spp.","ken","Kenya",1
2016,"Alopias spp.","mdv","Maldives",1
2016,"Alopias spp.","mrt","Mauritania",1
2016,"Alopias spp.","plw","Palau",1
2016,"Alopias spp.","pan","Panama",1
2016,"Alopias spp.","wsm","Samoa",1
2016,"Alopias spp.","sen","Senegal",1
2016,"Alopias spp.","syc","Seychelles",1
2016,"Alopias spp.","lka","Sri Lanka",1
2016,"Alopias spp.","ukr","Ukraine",1
2016,"Mobula spp.","bhs","Bahamas",1
2016,"Mobula spp.","bgd","Bangladesh",1
2016,"Mobula spp.","ben","Benin",1
2016,"Mobula spp.","bra","Brazil",1
2016,"Mobula spp.","bfa","Burkina Faso",1
2016,"Mobula spp.","com","Comoros",1
2016,"Mobula spp.","cri","Costa Rica",1
2016,"Mobula spp.","ecu","Ecuador",1
2016,"Mobula spp.","egy","Egypt",1
2016,"Mobula spp.","eu","European Union",1
2016,"Mobula spp.","fji","Fiji",1
2016,"Mobula spp.","gha","Ghana",1
2016,"Mobula spp.","gin","Guinea",1
2016,"Mobula spp.","gnb","Guinea-bissau",1
2016,"Mobula spp.","mdv","Maldives",1
2016,"Mobula spp.","mrt","Mauritania",1
2016,"Mobula spp.","plw","Palau",1
2016,"Mobula spp.","pan","Panama",1
2016,"Mobula spp.","wsm","Samoa",1
2016,"Mobula spp.","sen","Senegal",1
2016,"Mobula spp.","syc","Seychelles",1
2016,"Mobula spp.","lka","Sri Lanka",1
2016,"Mobula spp.","usa","United States",1
2018,"Isurus spp.","bgd","Bangladesh",1
2018,"Isurus spp.","ben","Benin",1
2018,"Isurus spp.","btn","Bhutan",1
2018,"Isurus spp.","bra","Brazil",1
2018,"Isurus spp.","bfa","Burkina Faso",1
2018,"Isurus spp.","cpv","Cape Verde",1
2018,"Isurus spp.","tcd","Chad",1
2018,"Isurus spp.","civ","C̫te d'Ivoire",1
2018,"Isurus spp.","dom","Dominican Republic",1
2018,"Isurus spp.","egy","Egypt",1
2018,"Isurus spp.","eu","European Union",1
2018,"Isurus spp.","gab","Gabon",1
2018,"Isurus spp.","gmb","Gambia",1
2018,"Isurus spp.","jor","Jordan",1
2018,"Isurus spp.","lbn","Lebanon",1
2018,"Isurus spp.","lbr","Liberia",1
2018,"Isurus spp.","mdv","Maldives",1
2018,"Isurus spp.","mli","Mali",1
2018,"Isurus spp.","mex","Mexico",1
2018,"Isurus spp.","npl","Nepal",1
2018,"Isurus spp.","ner","Niger",1
2018,"Isurus spp.","nga","Nigeria",1
2018,"Isurus spp.","plw","Palau",1
2018,"Isurus spp.","wsm","Samoa",1
2018,"Isurus spp.","sen","Senegal",1
2018,"Isurus spp.","lka","Sri Lanka",1
2018,"Isurus spp.","sdn","Sudan",1
2018,"Isurus spp.","tgo","Togo",1
