"Year","Species","Alpha3Code","CountryName","value"
2011,"Manta birostris","aus","Australia",1
2011,"Manta birostris","chl","Chile",1
2011,"Manta birostris","ecu","Ecuador",1
2011,"Manta birostris","eu","European Union",1
2011,"Manta birostris","mdg","Madagascar",1
2011,"Manta birostris","moz","Mozambique",1
2011,"Manta birostris","nor","Norway",1
2011,"Manta birostris","sen","Senegal",1
2011,"Manta birostris","usa","United States",1
2011,"Manta birostris","ury","Uruguay",1
2014,"Alopias spp.","ecu","Ecuador",1
2014,"Alopias spp.","fji","Fiji",1
2014,"Alopias spp.","isr","Israel",1
2014,"Alopias spp.","nzl","New Zealand",1
2014,"Carcharhinus falciformis","aus","Australia",1
2014,"Carcharhinus falciformis","chl","Chile",0
2014,"Carcharhinus falciformis","cri","Costa Rica",1
2014,"Carcharhinus falciformis","ecu","Ecuador",1
2014,"Carcharhinus falciformis","eu","European Union",1
2014,"Carcharhinus falciformis","fji","Fiji",1
2014,"Carcharhinus falciformis","per","Peru",0
2014,"Carcharhinus falciformis","sen","Senegal",1
2014,"Carcharhinus falciformis","usa","United States",1
2014,"Manta alfredi","chl","Chile",1
2014,"Manta alfredi","ecu","Ecuador",1
2014,"Manta alfredi","eu","European Union",1
2014,"Manta alfredi","zaf","South Africa",0
2014,"Manta alfredi","usa","United States",1
2014,"Mobula spp.","nzl","New Zealand",1
2014,"Sphyrna spp.","chl","Chile",1
2014,"Sphyrna spp.","cri","Costa Rica",1
2014,"Sphyrna spp.","egy","Egypt",1
2014,"Sphyrna spp.","eu","European Union",1
2014,"Sphyrna spp.","fji","Fiji",1
2014,"Sphyrna spp.","mco","Monaco",1
2014,"Sphyrna spp.","per","Peru",1
2017,"Prionace glauca","bra","Brazil",1
2017,"Prionace glauca","cok","Cook Islands",1
2017,"Prionace glauca","ecu","Ecuador",1
2017,"Prionace glauca","fji","Fiji",1
2017,"Prionace glauca","ind","India",1
2017,"Prionace glauca","nzl","New Zealand",0
2017,"Prionace glauca","nor","Norway",0
2017,"Rhincodon typus","ecu","Ecuador",1
2017,"Rhincodon typus","eu","European Union",1
2017,"Rhincodon typus","ind","India",1
2017,"Rhincodon typus","isr","Israel",1
2017,"Rhincodon typus","per","Peru",1
2017,"Rhincodon typus","phl","Philippines",1
2017,"Rhincodon typus","sen","Senegal",1
2017,"Rhincodon typus","lka","Sri Lanka",1
2020,"Sphyrna zygaena","aus","Australia",0
2020,"Sphyrna zygaena","bgd","Bangladesh",1
2020,"Sphyrna zygaena","civ","C̫te d'Ivoire",1
2020,"Sphyrna zygaena","ecu","Ecuador",1
2020,"Sphyrna zygaena","gmb","Gambia",1
2020,"Sphyrna zygaena","ind","India",1
2020,"Sphyrna zygaena","nga","Nigeria",1
2020,"Sphyrna zygaena","nor","Norway",0
2020,"Sphyrna zygaena","sau","Saudi Arabia",0
2020,"Sphyrna zygaena","sen","Senegal",1
2020,"Carcharhinus longimanus","cri","Costa Rica",1
2020,"Carcharhinus longimanus","eu","European Union",1
2020,"Carcharhinus longimanus","ind","India",1
2020,"Carcharhinus longimanus","isr","Israel",1
2020,"Carcharhinus longimanus","nzl","New Zealand",1
2020,"Carcharhinus longimanus","sen","Senegal",1
2020,"Carcharhinus longimanus","lka","Sri Lanka",1
